  MQ2,MQ7,MQ135,MQ3,Temperature,Humidity,Radius,Lenth
  1714,  1036,  1075,    910 ,27.00 ,55.00 ,31 ,12
  1711,  1037,  1075,    909 ,27.00 ,55.00 ,31 ,12
  1711,  1037,  1075,    910 ,27.00 ,56.00 ,31 ,12
  1712,  1036,  1075,    909 ,27.00 ,56.00 ,31 ,12
  1712,  1035,  1075,    910 ,27.00 ,56.00 ,31 ,12
  1714,  1036,  1075,    910 ,27.00 ,56.00 ,31 ,12
  1713,  1036,  1074,    910 ,27.00 ,56.00 ,31 ,12
  1714,  1036,  1075,    910 ,27.00 ,56.00 ,31 ,12
  1714,  1036,  1076,    910 ,27.00 ,56.00 ,31 ,12
  1712,  1036,  1077,    910 ,27.00 ,56.00 ,31 ,12
  1712,  1036,  1076,    911 ,27.00 ,56.00 ,31 ,12
  1714,  1036,  1075,    909 ,27.00 ,56.00 ,31 ,12
  1713,  1035,  1075,    910 ,27.00 ,56.00 ,31 ,12
  1713,  1036,  1076,    910 ,27.00 ,56.00 ,31 ,12
  1715,  1036,  1076,    910 ,27.00 ,56.00 ,31 ,12
  1715,  1037,  1076,    911 ,27.00 ,56.00 ,31 ,12
  1714,  1037,  1077,    910 ,27.00 ,56.00 ,31 ,12
  1715,  1036,  1077,    910 ,27.00 ,56.00 ,31 ,12
  1715,  1037,  1076,    912 ,27.00 ,56.00 ,31 ,12
  1718,  1037,  1076,    910 ,27.00 ,56.00 ,31 ,12
  1715,  1036,  1076,    911 ,27.00 ,56.00 ,31 ,12
  1715,  1036,  1076,    911 ,27.00 ,56.00 ,31 ,12
  1715,  1037,  1075,    911 ,27.00 ,56.00 ,31 ,12
  1716,  1036,  1075,    910 ,27.00 ,56.00 ,31 ,12
  1714,  1036,  1076,    911 ,27.00 ,56.00 ,31 ,12
  1713,  1036,  1076,    911 ,27.00 ,56.00 ,31 ,12
  1713,  1036,  1076,    912 ,27.00 ,56.00 ,31 ,12
  1714,  1036,  1076,    911 ,27.00 ,56.00 ,31 ,12
  1715,  1036,  1076,    911 ,27.00 ,56.00 ,31 ,12
  1712,  1036,  1075,    911 ,27.00 ,56.00 ,31 ,12
  1714,  1037,  1076,    911 ,27.00 ,56.00 ,31 ,12
  1715,  1037,  1076,    911 ,27.00 ,56.00 ,31 ,12
  1715,  1037,  1075,    911 ,27.00 ,56.00 ,31 ,12
  1715,  1037,  1075,    911 ,27.00 ,56.00 ,31 ,12
  1715,  1036,  1075,    911 ,27.00 ,56.00 ,31 ,12
  1714,  1036,  1076,    911 ,27.00 ,56.00 ,31 ,12
  1714,  1036,  1076,    911 ,27.00 ,56.00 ,31 ,12
  1713,  1037,  1074,    911 ,27.00 ,56.00 ,31 ,12
  1712,  1037,  1074,    912 ,27.00 ,56.00 ,31 ,12
  1714,  1037,  1074,    912 ,27.00 ,56.00 ,31 ,12
  1712,  1037,  1073,    912 ,27.00 ,56.00 ,31 ,12
  1715,  1036,  1074,    912 ,27.00 ,56.00 ,31 ,12
  1715,  1037,  1075,    912 ,27.00 ,56.00 ,31 ,12
  1714,  1037,  1075,    911 ,27.00 ,56.00 ,31 ,12
  1714,  1037,  1074,    911 ,27.00 ,56.00 ,31 ,12
  1715,  1036,  1074,    913 ,27.00 ,56.00 ,31 ,12
  1715,  1036,  1074,    912 ,27.00 ,56.00 ,31 ,12
  1715,  1037,  1074,    912 ,27.00 ,56.00 ,31 ,12
  1715,  1037,  1074,    912 ,27.00 ,56.00 ,31 ,12
  1721,  1036,  1077,    912 ,27.00 ,56.00 ,31 ,12
  1719,  1037,  1076,    913 ,27.00 ,57.00 ,31 ,12
  1717,  1037,  1076,    913 ,27.00 ,57.00 ,31 ,12
  1718,  1037,  1076,    913 ,27.00 ,57.00 ,31 ,12
  1718,  1037,  1076,    913 ,27.00 ,57.00 ,31 ,12
  1719,  1037,  1075,    913 ,27.00 ,57.00 ,31 ,12
  1721,  1037,  1075,    913 ,27.00 ,57.00 ,31 ,12
  1720,  1037,  1074,    913 ,27.00 ,57.00 ,31 ,12
  1719,  1037,  1074,    913 ,27.00 ,57.00 ,31 ,12
  1718,  1037,  1074,    913 ,27.00 ,57.00 ,31 ,12
  1719,  1037,  1074,    913 ,27.00 ,57.00 ,31 ,12
  1718,  1037,  1073,    913 ,27.00 ,57.00 ,31 ,12
  1717,  1037,  1073,    914 ,27.00 ,57.00 ,31 ,12
  1715,  1037,  1071,    914 ,27.00 ,57.00 ,31 ,12
  1716,  1037,  1072,    914 ,27.00 ,57.00 ,31 ,12
  1716,  1037,  1072,    915 ,27.00 ,57.00 ,31 ,12
  1717,  1037,  1072,    914 ,27.00 ,57.00 ,31 ,12
  1716,  1037,  1072,    914 ,27.00 ,57.00 ,31 ,12
  1715,  1036,  1072,    915 ,27.00 ,57.00 ,31 ,12
  1717,  1036,  1071,    914 ,27.00 ,57.00 ,31 ,12
  1717,  1037,  1071,    913 ,27.00 ,57.00 ,31 ,12
  1718,  1037,  1072,    914 ,27.00 ,57.00 ,31 ,12
  1717,  1037,  1072,    914 ,27.00 ,57.00 ,31 ,12
  1716,  1037,  1072,    915 ,27.00 ,57.00 ,31 ,12
  1716,  1037,  1072,    914 ,27.00 ,57.00 ,31 ,12
  1716,  1037,  1073,    915 ,27.00 ,57.00 ,31 ,12
  1718,  1037,  1074,    914 ,27.00 ,57.00 ,31 ,12
  1716,  1035,  1072,    915 ,27.00 ,57.00 ,31 ,12
  1715,  1036,  1074,    915 ,27.00 ,57.00 ,31 ,12
  1715,  1036,  1074,    914 ,27.00 ,57.00 ,31 ,12
